4459	-1.95
4469	-1.95
4470	-5.42
4471	-5.42
4472	-5.42
4473	-5.42
4505	-4.767
4506	-4.767
4507	-4.19
4508	-4.19
4529	-3.69
4531	-3.25
4545	-2.86
4548	-2.52
4561	-2.21
4667	-6.6
4777	-5.878
4778	-5.878
4779	-5.878
4788	-5.36
4861	-4.78
4865	-4.27
4914	-3.81
4919	-3.4
4955	-3.04
4959	-2.71
4961	-2.71
5017	-2.42
5018	-2.42
5107	-4.08
5211	-4.08
5252	-3.57
5263	-3.57
5264	-3.57
5265	-3.57
5266	-3.57
5267	-3.57
5340	-3.09
5341	-3.09
5342	-3.09
5343	-3.09
5344	-3.09
5345	-3.09
5346	-3.09
5366	-2.72
5367	-2.72
5368	-2.72
5424	-2.4
5425	-2.4
5429	-2.11
5447	-1.85
5453	-1.63
5454	-1.63
5479	-1.44
5480	-1.44
5485	-1.26
5486	-1.26
5541	-5.878
5544	-5.36
5545	-5.36
5579	-4.78
5663	-3.57
5664	-3.57
5665	-3.57
5666	-3.57
5667	-3.57
